Number,Latitude,Longitude,Label
1,-33.437221527,-70.650016785,
2,-34.608489990,-58.373439789,
3,-22.909570694,-68.199089050,
4,-9.527779579,-77.532722473,
5,40.964260101,-5.663849831,
6,38.726390839,-9.149479866,
7,41.388038635,2.170010090,
8,40.420280457,-3.705770016,
9,50.836044312,4.370591164,
10,59.3293235,18.0685808, Stockholm Sweeden 2010
11,-26.130729675,28.229509354,
12,35.691680908,-105.937957764,
13,35.712448120,-83.515769958,
14,28.538230896,-81.377388000, Johanesburg South Africa 2019
