Position,Apex X,Apex Y,Apex Z,Boom X,Boom Y,Boom Z,Slew X,Slew Y,Slew Z,Luff X,Luff Y,Luff Z
1,-275.941,-19.224,81.208,-237.804,5.234,73.21,-269.8628459,-14.98411606,8.757409413,-268.0524337,-13.84236806,8.757409413
2,-276.57,-18.116,81.217,-234.765,-0.673,73.185,-269.8606718,-15.00469582,8.756637926,-267.8791529,-14.19552122,8.756637926
3,-277.001,-16.924,81.218,-232.818,-6.955,73.152,-269.8693569,-15.01976757,8.755623111,-267.7779573,-14.56454398,8.755623111
4,-277.219,-15.69,81.226,-231.985,-13.421,73.131,-269.8758106,-15.03336194,8.754979422,-267.7373765,-14.94236548,8.754979422
5,-277.223,-14.402,81.228,-232.296,-20.074,73.097,-269.8951879,-15.03683715,8.753940722,-267.7737715,-15.32104329,8.753940722
6,-277.013,-13.203,81.234,-233.657,-26.262,73.07,-269.9036346,-15.04351798,8.753118922,-267.8589586,-15.67635358,8.753118922
7,-276.589,-12.008,81.239,-236.144,-32.357,73.051,-269.9132593,-15.04422958,8.752542236,-268.0086114,-16.02070143,8.752542236
8,-275.966,-10.907,81.249,-239.652,-37.944,73.03,-269.9225022,-15.04733571,8.751906401,-268.2154666,-16.33854063,8.751906401
9,-275.18,-9.947,81.246,-243.961,-42.725,73.012,-269.9316609,-15.03955676,8.751362699,-268.4673075,-16.60059802,8.751362699
10,-274.225,-9.129,81.248,-249.063,-46.753,72.997,-269.9276716,-15.03618984,8.750910529,-268.7513542,-16.82433365,8.750910529
11,-273.152,-8.48,81.251,-254.836,-49.874,72.987,-269.9349266,-15.03818814,8.750609544,-269.0837381,-17.00202592,8.750609544
12,-271.978,-8.028,81.254,-261.062,-51.953,72.987,-269.9388778,-15.03806518,8.750609544,-269.4384518,-17.11911166,8.750609544
13,-270.838,-7.136,80.586,-267.287,-51.819,76.041,-269.9344438,-14.96462639,8.859981106,-269.781085,-17.09949449,8.859981106
14,-269.336,-7.109,80.587,-274.251,-51.66,76.044,-269.9206382,-14.96642745,8.860106051,-270.1714913,-17.09204582,8.860106051
15,-268.035,-7.319,80.593,-280.249,-50.448,76.061,-269.9134946,-14.9814796,8.860814734,-270.5123229,-17.03637263,8.860814734
